id_caso,tipo_maquina,cpu_geracao,nucleos_cpu,ram_gb,tipo_armazenamento,gpu,perfil_carga,sintoma_principal,uso_cpu_pct,uso_ram_pct,uso_disco_pct,gargalo,solucao_recomendada
1,desktop_escritorio,antiga,2,4,HDD,integrada,ofimatica_administrativa,boot_lento,30,65,100,armazenamento,instalar SSD SATA
2,notebook_corporativo,antiga,2,4,HDD,integrada,ofimatica_administrativa,boot_lento,35,70,100,armazenamento,instalar SSD SATA
3,desktop_escritorio,intermediaria,4,8,HDD,integrada,ofimatica_administrativa,boot_lento,28,60,95,armazenamento,instalar SSD NVMe
4,notebook_corporativo,antiga,2,4,HDD,integrada,ofimatica_administrativa,lentidao_geral,45,75,100,armazenamento,instalar SSD SATA e avaliar RAM
5,desktop_escritorio,intermediaria,4,8,SSD_SATA,integrada,ofimatica_administrativa,falta_espaco,30,55,96,armazenamento,adicionar SSD de maior capacidade
6,servidor,intermediaria,8,32,HDD,integrada,banco_de_dados,consulta_bd_lenta,45,70,98,armazenamento,migrar banco para SSD NVMe
7,servidor,recente,16,64,HDD,integrada,banco_de_dados,consulta_bd_lenta,40,65,100,armazenamento,migrar banco para SSD NVMe
8,maquina_virtual,intermediaria,4,16,HDD,integrada,banco_de_dados,consulta_bd_lenta,50,72,97,armazenamento,mover VM para datastore SSD
9,servidor,antiga,8,32,HDD,integrada,banco_de_dados,consulta_bd_lenta,55,75,99,armazenamento,migrar banco para SSD NVMe
10,servidor,intermediaria,8,32,SSD_SATA,integrada,banco_de_dados,falta_espaco,35,60,97,armazenamento,adicionar SSD de maior capacidade
11,desktop_escritorio,antiga,2,4,HDD,integrada,atendimento_cliente,boot_lento,32,68,100,armazenamento,instalar SSD SATA
12,desktop_escritorio,antiga,4,8,HDD,integrada,atendimento_cliente,boot_lento,30,62,98,armazenamento,instalar SSD SATA
13,desktop_escritorio,intermediaria,4,8,HDD,integrada,atendimento_cliente,lentidao_geral,48,78,95,armazenamento,instalar SSD SATA
14,desktop_escritorio,intermediaria,4,8,HDD,integrada,financeiro_erp,relatorio_erp_lento,50,70,96,armazenamento,instalar SSD NVMe
15,notebook_corporativo,antiga,2,8,HDD,integrada,financeiro_erp,relatorio_erp_lento,45,72,98,armazenamento,instalar SSD SATA
16,desktop_escritorio,antiga,4,8,HDD,integrada,financeiro_erp,boot_lento,33,64,100,armazenamento,instalar SSD SATA
17,estacao_trabalho,recente,8,32,SSD_SATA,dedicada_media,design_grafico_marketing,falta_espaco,50,60,97,armazenamento,adicionar SSD NVMe de maior capacidade
18,notebook_corporativo,intermediaria,4,16,SSD_SATA,dedicada_baixa,design_grafico_marketing,falta_espaco,45,58,95,armazenamento,adicionar SSD externo de alta capacidade
19,notebook_corporativo,intermediaria,4,8,HDD,integrada,desenvolvimento_software,boot_lento,38,72,97,armazenamento,instalar SSD NVMe
20,estacao_trabalho,recente,8,32,SSD_SATA,dedicada_baixa,desenvolvimento_software,falta_espaco,40,55,96,armazenamento,adicionar SSD de maior capacidade
21,desktop_escritorio,antiga,2,4,HDD,integrada,ofimatica_administrativa,travamento_multitarefa,45,96,80,ram,aumentar RAM para 8GB
22,notebook_corporativo,antiga,2,4,SSD_SATA,integrada,ofimatica_administrativa,travamento_multitarefa,40,95,55,ram,aumentar RAM para 8GB
23,notebook_corporativo,intermediaria,4,4,SSD_SATA,integrada,ofimatica_administrativa,travamento_multitarefa,42,97,50,ram,aumentar RAM para 8GB
24,desktop_escritorio,intermediaria,4,8,SSD_SATA,integrada,ofimatica_administrativa,travamento_multitarefa,48,94,58,ram,aumentar RAM para 16GB
25,desktop_escritorio,antiga,4,4,HDD,integrada,atendimento_cliente,travamento_multitarefa,50,97,82,ram,aumentar RAM para 8GB
26,desktop_escritorio,intermediaria,4,8,SSD_SATA,integrada,atendimento_cliente,travamento_multitarefa,52,95,60,ram,aumentar RAM para 16GB
27,desktop_escritorio,antiga,2,4,SSD_SATA,integrada,atendimento_cliente,travamento_multitarefa,46,96,55,ram,aumentar RAM para 8GB
28,desktop_escritorio,intermediaria,4,8,HDD,integrada,atendimento_cliente,lentidao_geral,55,93,84,ram,aumentar RAM para 16GB
29,servidor,intermediaria,16,64,SSD_SATA,integrada,virtualizacao_vdi,contencao_maquina_virtual,65,96,60,ram,aumentar RAM do host para 128GB
30,servidor,recente,16,64,SSD_NVMe,integrada,virtualizacao_vdi,contencao_maquina_virtual,60,97,45,ram,aumentar RAM do host para 128GB
31,servidor,intermediaria,8,32,SSD_SATA,integrada,virtualizacao_vdi,contencao_maquina_virtual,68,95,58,ram,aumentar RAM do host para 64GB
32,servidor,recente,24,128,SSD_NVMe,integrada,virtualizacao_vdi,contencao_maquina_virtual,62,94,40,ram,aumentar RAM do host para 256GB
33,maquina_virtual,intermediaria,4,8,SSD_SATA,integrada,virtualizacao_vdi,travamento_multitarefa,58,96,52,ram,aumentar memoria alocada da VM
